state,state_abbr,occ_code,occ_title,total_emp,mean_salary,median_salary
Mississippi,MS,15-1211,Computer Systems Analysts,1610,87750,80020
Missouri,MO,15-1211,Computer Systems Analysts,7860,97650,96660
Montana,MT,15-1211,Computer Systems Analysts,580,82260,82020
Nebraska,NE,15-1211,Computer Systems Analysts,3570,90330,82710
Nevada,NV,15-1211,Computer Systems Analysts,1920,107380,100780
New Hampshire,NH,15-1211,Computer Systems Analysts,2450,111470,105850
New Jersey,NJ,15-1211,Computer Systems Analysts,14970,126240,123190
New Mexico,NM,15-1211,Computer Systems Analysts,2480,95890,88440
New York,NY,15-1211,Computer Systems Analysts,19760,116560,107510
North Carolina,NC,15-1211,Computer Systems Analysts,26220,111580,105770
North Dakota,ND,15-1211,Computer Systems Analysts,190,100680,93880
Ohio,OH,15-1211,Computer Systems Analysts,16530,99260,95400
Oklahoma,OK,15-1211,Computer Systems Analysts,3320,103460,99590
Oregon,OR,15-1211,Computer Systems Analysts,4760,118410,112990
Pennsylvania,PA,15-1211,Computer Systems Analysts,19630,93040,83460
Rhode Island,RI,15-1211,Computer Systems Analysts,1590,113490,107140
South Carolina,SC,15-1211,Computer Systems Analysts,7720,102270,92990
South Dakota,SD,15-1211,Computer Systems Analysts,1010,99350,92290
Tennessee,TN,15-1211,Computer Systems Analysts,8460,98630,94490
Texas,TX,15-1211,Computer Systems Analysts,50680,115240,107200
Utah,UT,15-1211,Computer Systems Analysts,2960,97020,90650
Virginia,VA,15-1211,Computer Systems Analysts,23830,115820,108350
Washington,WA,15-1211,Computer Systems Analysts,20060,132760,128710
West Virginia,WV,15-1211,Computer Systems Analysts,1190,97420,98090
Wisconsin,WI,15-1211,Computer Systems Analysts,8460,96220,89980
Wyoming,WY,15-1211,Computer Systems Analysts,240,111340,106540
Alabama,AL,15-1221,Computer and Information Research Scientists,480,105360,102250
Arizona,AZ,15-1221,Computer and Information Research Scientists,360,147500,134910
California,CA,15-1221,Computer and Information Research Scientists,7560,187420,175530
Colorado,CO,15-1221,Computer and Information Research Scientists,350,132070,126840
Connecticut,CT,15-1221,Computer and Information Research Scientists,50,126070,112580
District of Columbia,DC,15-1221,Computer and Information Research Scientists,300,145620,145780
Florida,FL,15-1221,Computer and Information Research Scientists,1160,131680,118190
Georgia,GA,15-1221,Computer and Information Research Scientists,620,92530,83600
Hawaii,HI,15-1221,Computer and Information Research Scientists,110,137720,133160
Idaho,ID,15-1221,Computer and Information Research Scientists,**,175360,163660
Illinois,IL,15-1221,Computer and Information Research Scientists,190,115410,116450
Indiana,IN,15-1221,Computer and Information Research Scientists,680,88770,82360
Iowa,IA,15-1221,Computer and Information Research Scientists,40,102710,110510
Kansas,KS,15-1221,Computer and Information Research Scientists,60,119470,104690
Kentucky,KY,15-1221,Computer and Information Research Scientists,210,107290,116250
Louisiana,LA,15-1221,Computer and Information Research Scientists,110,106560,112110
Maryland,MD,15-1221,Computer and Information Research Scientists,2310,142570,145600
Massachusetts,MA,15-1221,Computer and Information Research Scientists,**,178820,170020
Michigan,MI,15-1221,Computer and Information Research Scientists,270,119800,112330
Minnesota,MN,15-1221,Computer and Information Research Scientists,50,130440,116810
Mississippi,MS,15-1221,Computer and Information Research Scientists,290,111450,111110
Missouri,MO,15-1221,Computer and Information Research Scientists,510,133200,108380
Nebraska,NE,15-1221,Computer and Information Research Scientists,30,107030,101990
Nevada,NV,15-1221,Computer and Information Research Scientists,60,124620,126840
New Hampshire,NH,15-1221,Computer and Information Research Scientists,150,137070,131540
New Jersey,NJ,15-1221,Computer and Information Research Scientists,1200,134260,129950
New Mexico,NM,15-1221,Computer and Information Research Scientists,**,170070,172190
New York,NY,15-1221,Computer and Information Research Scientists,740,158440,151470
North Carolina,NC,15-1221,Computer and Information Research Scientists,370,122750,105180
Ohio,OH,15-1221,Computer and Information Research Scientists,170,119540,123010
Oklahoma,OK,15-1221,Computer and Information Research Scientists,490,95430,90600
Oregon,OR,15-1221,Computer and Information Research Scientists,790,178790,160140
Pennsylvania,PA,15-1221,Computer and Information Research Scientists,460,147580,118870
Rhode Island,RI,15-1221,Computer and Information Research Scientists,460,119640,122030
South Carolina,SC,15-1221,Computer and Information Research Scientists,470,111350,114400
Tennessee,TN,15-1221,Computer and Information Research Scientists,70,145310,120090
Texas,TX,15-1221,Computer and Information Research Scientists,1580,139340,129690
Utah,UT,15-1221,Computer and Information Research Scientists,810,99050,88610
Virginia,VA,15-1221,Computer and Information Research Scientists,2340,145860,143750
Washington,WA,15-1221,Computer and Information Research Scientists,2940,202910,218180
West Virginia,WV,15-1221,Computer and Information Research Scientists,50,180940,167480
Wisconsin,WI,15-1221,Computer and Information Research Scientists,40,130800,150700
Alabama,AL,15-1242,Database Administrators,1550,89510,85070
Alaska,AK,15-1242,Database Administrators,90,90370,90800
Arizona,AZ,15-1242,Database Administrators,1510,104470,107940
Arkansas,AR,15-1242,Database Administrators,490,91160,84930
California,CA,15-1242,Database Administrators,8070,116380,112170
Colorado,CO,15-1242,Database Administrators,1950,116470,116420
Connecticut,CT,15-1242,Database Administrators,870,109950,114400
Delaware,DE,15-1242,Database Administrators,740,105350,103240
District of Columbia,DC,15-1242,Database Administrators,520,116470,120220
Florida,FL,15-1242,Database Administrators,4690,104590,102280
Georgia,GA,15-1242,Database Administrators,2860,106880,104000
